board_nr,use_tt,use_iterdeep,depth,time,nodes_visited,move
9,False,False,4,0.19600391387939453,17241,"(1, 4)"
9,False,True,4,0.13100266456604004,11840,"(1, 4)"
9,False,False,5,2.9501335620880127,292731,"(1, 4)"
9,False,True,5,1.5750348567962646,151517,"(1, 4)"
9,False,False,6,10.639134407043457,1038623,"(1, 4)"
9,False,True,6,7.049343585968018,676760,"(1, 4)"
9,True,False,4,0.19600439071655273,16201,"(1, 4)"
9,True,True,4,0.06200098991394043,5065,"(1, 4)"
9,True,False,5,2.180083990097046,190455,"(1, 4)"
9,True,True,5,0.6870152950286865,56940,"(1, 4)"
9,True,False,6,6.57150673866272,579726,"(1, 4)"
9,True,True,6,1.2600278854370117,110546,"(1, 4)"
10,False,False,4,0.49401021003723145,44196,"(4, 3)"
10,False,True,4,0.3570082187652588,30992,"(4, 3)"
10,False,False,5,3.630655288696289,312953,"(4, 3)"
10,False,True,5,2.4480533599853516,204808,"(4, 3)"
10,False,False,6,34.00766158103943,3248237,"(3, 4)"
10,False,True,6,16.025235652923584,1489575,"(3, 4)"
10,True,False,4,0.4690103530883789,37829,"(4, 3)"
10,True,True,4,0.1840040683746338,14329,"(4, 3)"
10,True,False,5,2.8842031955718994,221360,"(4, 3)"
10,True,True,5,0.3980088233947754,30357,"(4, 3)"
10,True,False,6,18.075304985046387,1507080,"(3, 4)"
10,True,True,6,3.924360513687134,323593,"(3, 4)"
