game_id,board_nr,player1_c,player2_c,use_gdk_p1,use_gdk_p2,starting_player,winner,repetition,n_games
0,1,0.3,0.5,True,True,1,1,0,
1,1,0.3,0.5,True,True,2,1,0,
2,1,0.3,0.5,True,True,1,2,1,
3,1,0.3,0.5,True,True,2,2,1,
4,1,0.3,0.5,True,True,1,1,2,
5,1,0.3,0.5,True,True,2,2,2,
6,1,0.3,0.5,True,True,1,1,3,
7,1,0.3,0.5,True,True,2,1,3,
8,1,0.3,0.5,True,True,1,2,4,
9,1,0.3,0.5,True,True,2,1,4,
10,1,0.3,0.5,True,True,1,1,5,
11,1,0.3,0.5,True,True,2,1,5,
12,1,0.3,0.5,True,True,1,1,6,
13,1,0.3,0.5,True,True,2,1,6,
14,1,0.3,0.5,True,True,1,2,7,
15,1,0.3,0.5,True,True,2,1,7,
16,1,0.3,0.5,True,True,1,1,8,
17,1,0.3,0.5,True,True,2,1,8,
18,1,0.3,0.5,True,True,1,2,9,
19,1,0.3,0.5,True,True,2,2,9,
20,1,0.3,0.5,True,True,1,2,10,
21,1,0.3,0.5,True,True,2,1,10,
22,1,0.3,0.5,True,True,1,2,11,
23,1,0.3,0.5,True,True,2,2,11,
24,1,0.3,0.5,True,True,1,1,12,
25,1,0.3,0.5,True,True,2,2,12,
26,1,0.3,0.5,True,True,1,1,13,
27,1,0.3,0.5,True,True,2,1,13,
28,1,0.3,0.5,True,True,1,1,14,
29,1,0.3,0.5,True,True,2,2,14,
30,1,0.3,0.5,True,True,1,1,15,
31,1,0.3,0.5,True,True,2,2,15,
32,1,0.3,0.5,True,True,1,1,16,
33,1,0.3,0.5,True,True,2,1,16,
34,1,0.3,0.5,True,True,1,2,17,
35,1,0.3,0.5,True,True,2,2,17,
36,1,0.3,0.5,True,True,1,2,18,
37,1,0.3,0.5,True,True,2,1,18,
38,1,0.3,0.5,True,True,1,1,19,
39,1,0.3,0.5,True,True,2,1,19,
40,1,0.3,0.5,True,True,1,2,20,
41,1,0.3,0.5,True,True,2,1,20,
42,1,0.3,0.5,True,True,1,1,21,
43,1,0.3,0.5,True,True,2,1,21,
44,1,0.3,0.5,True,True,1,1,22,
45,1,0.3,0.5,True,True,2,1,22,
46,1,0.3,0.5,True,True,1,2,23,
47,1,0.3,0.5,True,True,2,1,23,
48,1,0.3,0.5,True,True,1,2,24,
49,1,0.3,0.5,True,True,2,2,24,
50,1,0.3,0.5,True,True,1,1,25,
51,1,0.3,0.5,True,True,2,1,25,
52,1,0.3,0.5,True,True,1,2,26,
53,1,0.3,0.5,True,True,2,2,26,
54,1,0.3,0.5,True,True,1,2,27,
55,1,0.3,0.5,True,True,2,1,27,
56,1,0.3,0.5,True,True,1,1,28,
57,1,0.3,0.5,True,True,2,1,28,
58,1,0.3,0.5,True,True,1,1,29,
59,1,0.3,0.5,True,True,2,1,29,
60,1,0.3,0.7,True,True,1,1,0,
