game_id,board_nr,player1_c,player2_c,use_gdk,starting_player,winner,repetition
0,1,0.5,1.0,False,1,1,0
1,1,0.5,1.0,False,2,1,0
2,1,0.5,1.0,False,1,1,1
3,1,0.5,1.0,False,2,1,1
4,1,0.5,1.0,False,1,1,2
5,1,0.5,1.0,False,2,1,2
6,1,0.5,1.0,False,1,2,3
7,1,0.5,1.0,False,2,2,3
8,1,0.5,1.0,False,1,2,4
9,1,0.5,1.0,False,2,2,4
10,1,0.5,1.0,False,1,2,5
11,1,0.5,1.0,False,2,1,5
12,1,0.5,1.0,False,1,1,6
13,1,0.5,1.0,False,2,1,6
14,1,0.5,1.0,False,1,1,7
15,1,0.5,1.0,False,2,2,7
16,1,0.5,1.0,False,1,1,8
17,1,0.5,1.0,False,2,2,8
18,1,0.5,1.0,False,1,1,9
19,1,0.5,1.0,False,2,2,9
20,1,0.5,1.0,False,1,2,10
21,1,0.5,1.0,False,2,1,10
22,1,0.5,1.0,False,1,2,11
23,1,0.5,1.0,False,2,1,11
24,1,0.5,1.0,False,1,1,12
25,1,0.5,1.0,False,2,1,12
26,1,0.5,1.0,False,1,2,13
27,1,0.5,1.0,False,2,2,13
28,1,0.5,1.0,False,1,2,14
29,1,0.5,1.0,False,2,2,14
30,1,0.5,1.0,False,1,1,15
31,1,0.5,1.0,False,2,1,15
32,1,0.5,1.0,False,1,2,16
33,1,0.5,1.0,False,2,1,16
34,1,0.5,1.0,False,1,1,17
35,1,0.5,1.0,False,2,1,17
36,1,0.5,1.0,False,1,2,18
37,1,0.5,1.0,False,2,2,18
38,1,0.5,1.0,False,1,2,19
39,1,0.5,1.0,False,2,2,19
40,1,0.5,1.0,False,1,1,20
41,1,0.5,1.0,False,2,2,20
42,1,0.5,1.0,False,1,2,21
43,1,0.5,1.0,False,2,1,21
44,1,0.5,1.0,False,1,1,22
45,1,0.5,1.0,False,2,1,22
46,1,0.5,1.0,False,1,2,23
47,1,0.5,1.0,False,2,1,23
48,1,0.5,1.0,False,1,1,24
49,1,0.5,1.0,False,2,1,24
50,1,0.5,1.0,False,1,1,25
51,1,0.5,1.0,False,2,2,25
52,1,0.5,1.0,False,1,2,26
53,1,0.5,1.0,False,2,1,26
54,1,0.5,1.0,False,1,1,27
55,1,0.5,1.0,False,2,1,27
56,1,0.5,1.0,False,1,1,28
57,1,0.5,1.0,False,2,2,28
58,1,0.5,1.0,False,1,1,29
59,1,0.5,1.0,False,2,1,29
60,1,0.5,1.4142135623730951,False,1,1,0
