game_id,board_nr,player1,player2,starting_player,winner,repetition,n_moves,player1_avg_n_nodes,player2_avg_n_nodes,player1_avg_n_iter,player2_avg_n_iter,sudden_win_found,avg_depth,max_depth,min_depth,avg_n_entries_tptable
150,1,AB,MCTS-AB,1,1,0,14,912920.8571428572,18452.571428571428,0.0,20661.285714285714,False,6.142857142857143,9,5,60684.57142857143
151,1,AB,MCTS-AB,2,1,0,15,871552.125,15583.142857142857,0.0,19024.571428571428,False,5.375,8,4,63496.875
152,1,AB,MCTS-AB,1,1,1,16,927863.625,14824.125,0.0,16599.75,False,6.375,9,4,74189.5
153,1,AB,MCTS-AB,2,1,1,17,918548.0,15701.625,0.0,18168.75,False,6.555555555555555,10,4,77903.0
154,1,AB,MCTS-AB,1,1,2,59,1196901.1379310344,14595.233333333334,0.0,95362.76666666666,False,11951.655172413793,273769,5,77658.89655172414
155,1,AB,MCTS-AB,2,1,2,60,1184831.3,15476.766666666666,0.0,122318.66666666667,False,14698.8,336074,4,70313.73333333334
156,1,AB,MCTS-AB,1,1,3,14,927536.8571428572,19051.714285714286,0.0,21773.428571428572,False,6.0,9,4,56320.857142857145
157,1,AB,MCTS-AB,2,1,3,13,924306.0,18283.0,0.0,22515.166666666668,False,6.142857142857143,11,4,60689.857142857145
158,1,AB,MCTS-AB,1,1,4,16,945499.25,13344.75,0.0,17002.875,False,6.5,11,4,70334.5
159,1,AB,MCTS-AB,2,1,4,13,885093.2857142857,16257.333333333334,0.0,19606.833333333332,False,5.571428571428571,8,4,61936.142857142855
160,1,AB,MCTS-AB,1,2,5,15,899981.0,13156.333333333334,0.0,13344.0,True,6.142857142857143,8,5,76938.0
161,1,AB,MCTS-AB,2,1,5,17,946285.2222222222,17469.625,0.0,19226.5,False,6.333333333333333,9,4,90641.77777777778
162,1,AB,MCTS-AB,1,1,6,59,1171603.2413793104,13180.233333333334,0.0,100331.26666666666,False,6914.620689655172,149407,5,73336.20689655172
163,1,AB,MCTS-AB,2,1,6,13,885351.8571428572,14428.333333333334,0.0,18162.666666666668,False,5.571428571428571,8,4,63954.857142857145
164,1,AB,MCTS-AB,1,1,7,14,898769.8571428572,15178.857142857143,0.0,17201.0,False,5.714285714285714,7,5,68046.57142857143
165,1,AB,MCTS-AB,2,2,7,61,1185959.8387096773,16201.82142857143,0.0,41934.71428571428,True,41739.51612903226,932593,4,64028.0
166,1,AB,MCTS-AB,1,2,8,27,1009671.3846153846,15696.833333333334,0.0,16804.916666666668,True,13.076923076923077,93,5,72334.0
167,1,AB,MCTS-AB,2,1,8,27,986059.7857142857,12405.384615384615,0.0,17271.076923076922,False,12.428571428571429,88,4,80222.57142857143
168,1,AB,MCTS-AB,1,1,9,14,886846.8571428572,17377.571428571428,0.0,19566.0,False,6.0,8,5,72955.14285714286
169,1,AB,MCTS-AB,2,1,9,13,927644.7142857143,16073.5,0.0,19622.666666666668,False,6.0,8,4,71174.28571428571
170,1,AB,MCTS-AB,1,2,10,27,949998.1538461539,16617.25,0.0,17582.916666666668,True,6.6923076923076925,13,5,69530.92307692308
171,1,AB,MCTS-AB,2,1,10,58,1242981.9655172413,16939.827586206895,0.0,96790.6551724138,False,9354.689655172413,191140,4,66851.96551724138
172,1,AB,MCTS-AB,1,2,11,15,884353.8571428572,11952.666666666666,0.0,12449.5,True,6.0,10,5,50662.28571428572
173,1,AB,MCTS-AB,2,1,11,13,889346.5714285715,17597.666666666668,0.0,20422.0,False,5.714285714285714,9,4,60675.142857142855
174,1,AB,MCTS-AB,1,1,12,24,892610.25,17264.833333333332,0.0,19480.416666666668,False,5.916666666666667,10,4,55361.916666666664
175,1,AB,MCTS-AB,2,2,12,32,977197.375,15369.42857142857,0.0,16509.714285714286,True,101.9375,1527,4,61949.6875
176,1,AB,MCTS-AB,1,1,13,14,931452.8571428572,19172.428571428572,0.0,21523.0,False,6.142857142857143,9,5,62042.142857142855
177,1,AB,MCTS-AB,2,1,13,13,918876.2857142857,18613.5,0.0,20286.833333333332,False,5.857142857142857,8,4,70722.57142857143
178,1,AB,MCTS-AB,1,1,14,16,930485.875,15914.5,0.0,19681.5,False,6.75,12,4,77837.375
179,1,AB,MCTS-AB,2,1,14,19,884062.6,17104.333333333332,0.0,21119.555555555555,False,5.8,9,4,73276.3
180,1,AB,MCTS-AB,1,1,15,59,1119268.3448275863,14949.233333333334,0.0,91443.96666666666,False,7431.275862068966,175493,5,67778.10344827586
181,1,AB,MCTS-AB,2,1,15,15,882999.375,14584.714285714286,0.0,18129.714285714286,False,5.75,8,4,70475.25
182,1,AB,MCTS-AB,1,1,16,59,1191149.103448276,15474.633333333333,0.0,94529.93333333333,False,6632.689655172414,153128,5,62974.48275862069
183,1,AB,MCTS-AB,2,2,16,24,951407.1666666666,13704.2,0.0,14130.3,True,6.833333333333333,18,4,67031.33333333333
184,1,AB,MCTS-AB,1,1,17,12,929737.6666666666,13684.833333333334,0.0,14837.166666666666,False,6.166666666666667,9,5,64984.166666666664
185,1,AB,MCTS-AB,2,1,17,19,942759.7,18357.333333333332,0.0,20896.222222222223,False,6.0,10,4,66146.2
186,1,AB,MCTS-AB,1,0.5,18,61,1094455.6,15524.322580645161,0.0,57474.41935483871,False,18423.533333333333,421977,4,71364.16666666667
187,1,AB,MCTS-AB,2,1,18,13,860555.7142857143,15755.166666666666,0.0,19555.333333333332,False,5.714285714285714,8,4,58252.857142857145
188,1,AB,MCTS-AB,1,1,19,12,869736.1666666666,12756.333333333334,0.0,14003.666666666666,False,5.833333333333333,8,4,52738.333333333336
189,1,AB,MCTS-AB,2,1,19,11,872118.1666666666,13770.4,0.0,14565.0,False,5.5,8,4,73239.66666666667
190,1,AB,MCTS-AB,1,1,20,14,871397.2857142857,14057.57142857143,0.0,16776.714285714286,False,6.142857142857143,9,5,64386.0
191,1,AB,MCTS-AB,2,1,20,27,958221.3571428572,13873.23076923077,0.0,18382.384615384617,False,79.28571428571429,1023,4,74724.14285714286
192,1,AB,MCTS-AB,1,2,21,56,1287156.7142857143,16391.30769230769,0.0,32769.61538461538,True,16550.714285714286,365000,5,61323.107142857145
193,1,AB,MCTS-AB,2,1,21,13,904021.4285714285,15576.333333333334,0.0,17442.5,False,5.857142857142857,8,4,68152.71428571429
194,1,AB,MCTS-AB,1,1,22,16,872606.375,13379.25,0.0,14311.625,False,6.0,9,5,73270.25
195,1,AB,MCTS-AB,2,1,22,60,1164009.3333333333,13872.833333333334,0.0,117219.9,False,11654.133333333333,254069,4,69618.1
196,1,AB,MCTS-AB,1,1,23,18,898278.8888888889,19521.88888888889,0.0,22963.333333333332,False,6.444444444444445,9,5,77699.44444444444
197,1,AB,MCTS-AB,2,1,23,13,877057.0,16235.166666666666,0.0,17901.666666666668,False,5.714285714285714,8,4,73102.85714285714
198,1,AB,MCTS-AB,1,1,24,16,932309.0,15805.875,0.0,18570.0,False,10.5,45,5,69152.75
199,1,AB,MCTS-AB,2,1,24,17,862102.2222222222,16259.625,0.0,18811.375,False,5.777777777777778,9,4,63015.88888888889
200,1,MCTS,MCTS-AB,1,2,0,29,15376.357142857143,14135.642857142857,18016.214285714286,14718.0,True,0,0,0,
201,1,MCTS,MCTS-AB,2,2,0,40,14656.75,12723.777777777777,20504.5,13297.222222222223,True,0,0,0,
202,1,MCTS,MCTS-AB,1,1,1,44,16218.272727272728,16358.045454545454,34076.5,23265.409090909092,False,0,0,0,
203,1,MCTS,MCTS-AB,2,2,1,61,17189.16129032258,16450.035714285714,153157.70967741936,42000.78571428572,True,0,0,0,
204,1,MCTS,MCTS-AB,1,2,2,58,13122.620689655172,13359.74074074074,77791.79310344828,21796.40740740741,True,0,0,0,
205,1,MCTS,MCTS-AB,2,1,2,17,13150.666666666666,10139.625,27881.88888888889,11911.125,False,0,0,0,
206,1,MCTS,MCTS-AB,1,2,3,15,18818.428571428572,12000.5,21010.14285714286,12155.833333333334,True,0,0,0,
207,1,MCTS,MCTS-AB,2,1,3,15,15050.375,17581.714285714286,30429.375,18862.428571428572,False,0,0,0,
208,1,MCTS,MCTS-AB,1,1,4,12,14342.5,15668.333333333334,33728.166666666664,19370.833333333332,False,0,0,0,
209,1,MCTS,MCTS-AB,2,1,4,60,12483.533333333333,11572.733333333334,68093.76666666666,113182.4,False,0,0,0,
210,1,MCTS,MCTS-AB,1,2,5,56,14982.17857142857,15684.307692307691,72524.07142857143,25847.884615384617,True,0,0,0,
211,1,MCTS,MCTS-AB,2,2,5,59,12965.266666666666,12918.222222222223,85379.16666666667,15371.555555555555,True,0,0,0,
212,1,MCTS,MCTS-AB,1,2,6,53,15978.192307692309,13680.0,28960.653846153848,21577.03846153846,True,0,0,0,
213,1,MCTS,MCTS-AB,2,1,6,27,15129.0,16525.69230769231,28729.714285714286,22585.30769230769,False,0,0,0,
214,1,MCTS,MCTS-AB,1,0.5,7,61,14310.533333333333,13474.129032258064,82722.46666666666,61511.06451612903,False,0,0,0,
215,1,MCTS,MCTS-AB,2,2,7,18,18825.444444444445,9429.0,20567.11111111111,9716.57142857143,True,0,0,0,
216,1,MCTS,MCTS-AB,1,1,8,28,15138.357142857143,13906.642857142857,28662.785714285714,19827.071428571428,False,0,0,0,
217,1,MCTS,MCTS-AB,2,1,8,9,13445.6,15522.5,35415.8,18466.25,False,0,0,0,
218,1,MCTS,MCTS-AB,1,2,9,27,21356.23076923077,18954.083333333332,28603.30769230769,19327.75,True,0,0,0,
219,1,MCTS,MCTS-AB,2,2,9,59,12853.233333333334,12941.777777777777,86239.5,23382.0,True,0,0,0,
220,1,MCTS,MCTS-AB,1,0.5,10,61,13575.3,12538.516129032258,73956.7,52894.93548387097,False,0,0,0,
221,1,MCTS,MCTS-AB,2,2,10,20,17835.7,13845.0,20506.2,13888.875,True,0,0,0,
222,1,MCTS,MCTS-AB,1,1,11,61,12110.933333333332,11538.90322580645,73158.26666666666,116695.25806451614,False,0,0,0,
223,1,MCTS,MCTS-AB,2,2,11,16,18238.875,15704.666666666666,22238.875,16321.0,True,0,0,0,
224,1,MCTS,MCTS-AB,1,1,12,16,15946.5,17220.25,32557.5,20584.75,False,0,0,0,
225,1,MCTS,MCTS-AB,2,2,12,38,13736.105263157895,15300.588235294117,28691.473684210527,21702.0,True,0,0,0,
226,1,MCTS,MCTS-AB,1,1,13,44,14802.40909090909,15348.09090909091,32486.409090909092,22057.727272727272,False,0,0,0,
227,1,MCTS,MCTS-AB,2,2,13,20,18672.1,14092.375,21789.6,14739.0,True,0,0,0,
228,1,MCTS,MCTS-AB,1,1,14,18,13874.444444444445,15153.444444444445,29241.555555555555,17201.777777777777,False,0,0,0,
229,1,MCTS,MCTS-AB,2,1,14,15,13531.25,17069.571428571428,29397.5,19394.571428571428,False,0,0,0,
230,1,MCTS,MCTS-AB,1,1,15,14,14535.285714285714,18559.714285714286,31898.285714285714,20974.85714285714,False,0,0,0,
231,1,MCTS,MCTS-AB,2,1,15,60,15821.6,13901.266666666666,73284.7,110898.56666666667,False,0,0,0,
232,1,MCTS,MCTS-AB,1,1,16,20,16145.5,11634.4,34865.1,22315.8,False,0,0,0,
233,1,MCTS,MCTS-AB,2,2,16,36,14911.0,13813.0,22338.444444444445,14735.6875,True,0,0,0,
234,1,MCTS,MCTS-AB,1,2,17,27,17155.76923076923,14058.083333333334,21914.53846153846,14429.916666666666,True,0,0,0,
235,1,MCTS,MCTS-AB,2,1,17,60,13480.133333333333,12678.766666666666,71853.6,114453.7,False,0,0,0,
236,1,MCTS,MCTS-AB,1,2,18,60,12889.266666666666,13385.25,109983.43333333333,30699.14285714286,True,0,0,0,
237,1,MCTS,MCTS-AB,2,2,18,61,13456.645161290322,14297.785714285714,142406.35483870967,35987.67857142857,True,0,0,0,
238,1,MCTS,MCTS-AB,1,1,19,22,15292.181818181818,13956.818181818182,29403.909090909092,16818.363636363636,False,0,0,0,
239,1,MCTS,MCTS-AB,2,1,19,11,14639.166666666666,16545.4,33250.166666666664,18032.6,False,0,0,0,
240,1,MCTS,MCTS-AB,1,0.5,20,61,12660.766666666666,12241.225806451614,72801.4,51877.83870967742,False,0,0,0,
241,1,MCTS,MCTS-AB,2,2,20,59,13929.266666666666,14167.074074074075,85950.2,24749.11111111111,True,0,0,0,
242,1,MCTS,MCTS-AB,1,1,21,61,11425.533333333333,9740.129032258064,80495.83333333333,129543.6129032258,False,0,0,0,
243,1,MCTS,MCTS-AB,2,2,21,28,15660.57142857143,11283.75,28086.714285714286,15792.0,True,0,0,0,
244,1,MCTS,MCTS-AB,1,1,22,28,14521.285714285714,15806.5,27520.428571428572,19148.928571428572,False,0,0,0,
245,1,MCTS,MCTS-AB,2,0.5,22,61,18018.483870967742,17685.233333333334,128952.2258064516,80606.56666666667,False,0,0,0,
246,1,MCTS,MCTS-AB,1,2,23,17,19364.375,11762.714285714286,21650.125,11962.57142857143,True,0,0,0,
247,1,MCTS,MCTS-AB,2,2,23,24,17359.333333333332,12738.6,20176.75,13088.7,True,0,0,0,
248,1,MCTS,MCTS-AB,1,1,24,59,14158.103448275862,13241.933333333332,60400.0,91895.86666666667,False,0,0,0,
249,1,MCTS,MCTS-AB,2,1,24,13,15656.0,20581.5,32307.285714285714,22162.0,False,0,0,0,
250,1,MCTS-AB,MCTS-PNS,1,1,0,59,12865.25925925926,11725.733333333334,24475.185185185186,68641.3,True,0,0,0,
251,1,MCTS-AB,MCTS-PNS,2,1,0,23,13882.7,16295.818181818182,14287.6,18808.18181818182,True,0,0,0,
252,1,MCTS-AB,MCTS-PNS,1,1,1,36,14539.875,15793.722222222223,15160.25,20137.222222222223,True,0,0,0,
253,1,MCTS-AB,MCTS-PNS,2,0.5,1,61,11531.193548387097,12284.466666666667,51278.58064516129,58908.63333333333,False,0,0,0,
254,1,MCTS-AB,MCTS-PNS,1,1,2,57,16171.346153846154,14134.241379310344,29248.96153846154,68169.4827586207,True,0,0,0,
